,编号,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),min_r,max_r
85,85,86,38,榆黄菇,普通大棚 ,第二季,5000,3000,50.00-65.00,247000.0,322000.0
87,87,88,40,白灵菇,普通大棚 ,第二季,10000,10000,14.00-18.00,130000.0,170000.0
101,101,102,29,黄瓜,智慧大棚,第二季,13500,3850,7.20-9.60,93350.0,125750.0
76,76,77,29,黄瓜,普通大棚 ,第一季,15000,3500,6.00-8.00,86500.0,116500.0
86,86,87,39,香菇,普通大棚 ,第二季,4000,2000,18.00-20.00,70000.0,78000.0
88,88,89,41,羊肚菌,普通大棚 ,第二季,1000,10000,80.00-120.00,70000.0,110000.0
58,58,59,29,黄瓜,水浇地,第一季,12000,2900,6.00-8.00,69100.0,93100.0
94,94,95,22,茄子,智慧大棚,第二季,7200,2640,6.00-7.20,40560.0,49200.0
69,69,70,22,茄子,普通大棚 ,第一季,8000,2400,5.00-6.00,37600.0,45600.0
104,104,105,32,空心菜,智慧大棚,第二季,11000,5500,3.60-7.20,34100.0,73700.0
79,79,80,32,空心菜,普通大棚 ,第一季,12000,5000,3.00-6.00,31000.0,67000.0
51,51,52,22,茄子,水浇地,第一季,6400,2000,5.00-6.00,30000.0,36400.0
61,61,62,32,空心菜,水浇地,第一季,10000,4100,3.00-6.00,25900.0,55900.0
89,89,90,17,豇豆,智慧大棚,第二季,3200,2640,8.40-10.80,24240.0,31920.0
98,98,99,26,包菜,智慧大棚,第二季,4100,3850,6.60-9.00,23210.0,33050.0
105,105,106,33,黄心菜,智慧大棚,第二季,5400,2750,4.80-6.00,23170.0,29650.0
64,64,65,17,豇豆,普通大棚 ,第一季,3600,2400,7.00-9.00,22800.0,30000.0
102,102,103,30,生菜 ,智慧大棚,第二季,4500,2200,5.40-7.20,22100.0,30200.0
106,106,107,34,芹菜,智慧大棚,第二季,6000,1200,3.80-5.80,21600.0,33600.0
80,80,81,33,黄心菜,普通大棚 ,第一季,6000,2500,4.00-5.00,21500.0,27500.0
73,73,74,26,包菜,普通大棚 ,第一季,4500,3500,5.50-7.50,21250.0,30250.0
77,77,78,30,生菜 ,普通大棚 ,第一季,5000,2000,4.50-6.00,20500.0,28000.0
81,81,82,34,芹菜,普通大棚 ,第一季,6600,1100,3.20-4.80,20020.0,30580.0
99,99,100,27,油麦菜,智慧大棚,第二季,4500,2200,4.80-7.20,19400.0,30200.0
100,100,101,28,小青菜,智慧大棚,第二季,3600,2200,6.00-7.80,19400.0,25880.0
46,46,47,17,豇豆,水浇地,第一季,3000,2000,7.00-9.00,19000.0,25000.0
97,97,98,25,菜花,智慧大棚,第二季,3600,3300,6.00-7.20,18300.0,22620.0
75,75,76,28,小青菜,普通大棚 ,第一季,4000,2000,5.00-6.50,18000.0,24000.0
62,62,63,33,黄心菜,水浇地,第一季,5000,2000,4.00-5.00,18000.0,23000.0
74,74,75,27,油麦菜,普通大棚 ,第一季,5000,2000,4.00-6.00,18000.0,28000.0
55,55,56,26,包菜,水浇地,第一季,3700,2900,5.50-7.50,17450.0,24850.0
72,72,73,25,菜花,普通大棚 ,第一季,4000,3000,5.00-6.00,17000.0,21000.0
59,59,60,30,生菜 ,水浇地,第一季,4100,1600,4.50-6.00,16850.0,23000.0
63,63,64,34,芹菜,水浇地,第一季,5500,900,3.20-4.80,16700.0,25500.0
91,91,92,19,芸豆,智慧大棚,第二季,3200,2640,6.00-9.60,16560.0,28080.0
66,66,67,19,芸豆,普通大棚 ,第一季,3600,2400,5.00-8.00,15600.0,26400.0
56,56,57,27,油麦菜,水浇地,第一季,4100,1600,4.00-6.00,14800.0,23000.0
95,95,96,23,菠菜 ,智慧大棚,第二季,3000,3000,5.80-8.00,14400.0,21000.0
57,57,58,28,小青菜,水浇地,第一季,3200,1600,5.00-6.50,14400.0,19200.0
54,54,55,25,菜花,水浇地,第一季,3300,2400,5.00-6.00,14100.0,17400.0
93,93,94,21,西红柿,智慧大棚,第二季,2700,2640,6.00-9.00,13560.0,21660.0
96,96,97,24,青椒,智慧大棚,第二季,2700,2200,5.80-7.80,13460.0,18860.0
90,90,91,18,刀豆,智慧大棚,第二季,2200,1320,6.60-9.60,13200.0,19800.0
70,70,71,23,菠菜 ,普通大棚 ,第一季,3300,2700,4.80-6.70,13140.0,19410.0
48,48,49,19,芸豆,水浇地,第一季,3000,2000,5.00-8.00,13000.0,22000.0
68,68,69,21,西红柿,普通大棚 ,第一季,3000,2400,5.00-7.50,12600.0,20100.0
65,65,66,18,刀豆,普通大棚 ,第一季,2400,1200,5.50-8.00,12000.0,18000.0
103,103,104,31,辣椒,智慧大棚,第二季,1800,1300,7.20-10.20,11660.0,17060.0
78,78,79,31,辣椒,普通大棚 ,第一季,2000,1200,6.00-8.50,10800.0,15800.0
52,52,53,23,菠菜 ,水浇地,第一季,2700,2300,4.80-6.70,10660.0,15790.0
47,47,48,18,刀豆,水浇地,第一季,2000,1000,5.50-8.00,10000.0,15000.0
71,71,72,24,青椒,普通大棚 ,第一季,3000,2000,4.00-6.50,10000.0,17500.0
50,50,51,21,西红柿,水浇地,第一季,2400,2000,5.00-7.50,10000.0,16000.0
60,60,61,31,辣椒,水浇地,第一季,1600,1000,6.00-8.50,8600.0,12600.0
82,82,83,35,大白菜,水浇地,第二季,5000,2000,2.00-3.00,8000.0,13000.0
53,53,54,24,青椒,水浇地,第一季,2400,1600,4.00-6.50,8000.0,14000.0
83,83,84,36,白萝卜,水浇地,第二季,4000,500,2.00-3.00,7500.0,11500.0
84,84,85,37,红萝卜,水浇地,第二季,3000,500,2.50-4.00,7000.0,11500.0
92,92,93,20,土豆,智慧大棚,第二季,2200,2640,3.60-5.40,5280.0,9240.0
67,67,68,20,土豆,普通大棚 ,第一季,2400,2400,3.00-4.50,4800.0,8400.0
49,49,50,20,土豆,水浇地,第一季,2000,2000,3.00-4.50,4000.0,7000.0
12,12,13,13,红薯,平旱地,单季,2200,2000,2.50-4.00,3500.0,6800.0
27,27,28,13,红薯,梯田,单季,2100,2000,2.50-4.00,3250.0,6400.0
8,8,9,9,高粱,平旱地,单季,630,400,5.50-6.50,3065.0,3695.0
9,9,10,10,黍子,平旱地,单季,525,360,6.50-8.50,3052.5,4102.5
42,42,43,13,红薯,山坡地,单季,2000,2000,2.50-4.00,3000.0,6000.0
10,10,11,11,荞麦,平旱地,单季,110,350,30.00-50.00,2950.0,5150.0
23,23,24,9,高粱,梯田,单季,600,400,5.50-6.50,2900.0,3500.0
24,24,25,10,黍子,梯田,单季,500,360,6.50-8.50,2890.0,3890.0
1,1,2,2,黑豆,平旱地,单季,500,400,6.50-8.50,2850.0,3850.0
25,25,26,11,荞麦,梯田,单季,105,350,30.00-50.00,2800.0,4900.0
38,38,39,9,高粱,山坡地,单季,570,400,5.50-6.50,2735.0,3305.0
39,39,40,10,黍子,山坡地,单季,475,360,6.50-8.50,2727.5,3677.5
16,16,17,2,黑豆,梯田,单季,475,400,6.50-8.50,2687.5,3637.5
2,2,3,3,红豆,平旱地,单季,400,350,7.50-9.00,2650.0,3250.0
40,40,41,11,荞麦,山坡地,单季,100,350,30.00-50.00,2650.0,4650.0
31,31,32,2,黑豆,山坡地,单季,450,400,6.50-8.50,2525.0,3425.0
17,17,18,3,红豆,梯田,单季,380,350,7.50-9.00,2500.0,3070.0
32,32,33,3,红豆,山坡地,单季,360,350,7.50-9.00,2350.0,2890.0
45,45,46,16,水稻,水浇地,单季,500,680,6.00-8.00,2320.0,3320.0
4,4,5,5,爬豆,平旱地,单季,415,350,6.00-7.50,2140.0,2762.5
7,7,8,8,谷子,平旱地,单季,400,360,6.00-7.50,2040.0,2640.0
19,19,20,5,爬豆,梯田,单季,395,350,6.00-7.50,2020.0,2612.5
6,6,7,7,玉米,平旱地,单季,1000,500,2.50-3.50,2000.0,3000.0
11,11,12,12,南瓜,平旱地,单季,3000,1000,1.00-2.00,2000.0,5000.0
5,5,6,6,小麦,平旱地,单季,800,450,3.00-4.00,1950.0,2750.0
22,22,23,8,谷子,梯田,单季,380,360,6.00-7.50,1920.0,2490.0
34,34,35,5,爬豆,山坡地,单季,375,350,6.00-7.50,1900.0,2462.5
21,21,22,7,玉米,梯田,单季,950,500,2.50-3.50,1875.0,2825.0
26,26,27,12,南瓜,梯田,单季,2850,1000,1.00-2.00,1850.0,4700.0
20,20,21,6,小麦,梯田,单季,760,450,3.00-4.00,1830.0,2590.0
37,37,38,8,谷子,山坡地,单季,360,360,6.00-7.50,1800.0,2340.0
36,36,37,7,玉米,山坡地,单季,900,500,2.50-3.50,1750.0,2650.0
3,3,4,4,绿豆,平旱地,单季,350,350,6.00-8.00,1750.0,2450.0
35,35,36,6,小麦,山坡地,单季,720,450,3.00-4.00,1710.0,2430.0
13,13,14,14,莜麦,平旱地,单季,420,400,5.00-6.00,1700.0,2120.0
41,41,42,12,南瓜,山坡地,单季,2700,1000,1.00-2.00,1700.0,4400.0
18,18,19,4,绿豆,梯田,单季,330,350,6.00-8.00,1630.0,2290.0
28,28,29,14,莜麦,梯田,单季,400,400,5.00-6.00,1600.0,2000.0
33,33,34,4,绿豆,山坡地,单季,315,350,6.00-8.00,1540.0,2170.0
43,43,44,14,莜麦,山坡地,单季,380,400,5.00-6.00,1500.0,1880.0
14,14,15,15,大麦,平旱地,单季,525,350,3.00-4.00,1225.0,1750.0
29,29,30,15,大麦,梯田,单季,500,350,3.00-4.00,1150.0,1650.0
44,44,45,15,大麦,山坡地,单季,475,350,3.00-4.00,1075.0,1550.0
0,0,1,1,黄豆,平旱地,单季,400,400,2.50-4.00,600.0,1200.0
15,15,16,1,黄豆,梯田,单季,380,400,2.50-4.00,550.0,1120.0
30,30,31,1,黄豆,山坡地,单季,360,400,2.50-4.00,500.0,1040.0
